file,class,method,ATFD,ATLD,LAA,FDP,line
C:\Users\sugii syuji\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader$1,"getPasswordAuthentication/0",0.0,0.0,-1.0,0.0,103
C:\Users\sugii syuji\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,"downloadFileFromURL/2[java.lang.String, java.io.File]",7.0,0.0,0.0,4.0,97
C:\Users\sugii syuji\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,"main/1[java.lang.String[]]",8.0,5.0,0.3846154,2.0,48
C:\Users\sugii syuji\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,"MavenWrapperDownloader/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\NullValueCheckStrategy.java,org.mapstruct.NullValueCheckStrategy,"NullValueCheckStrategy/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass$NestedClass$FooImpl.java,org.mapstruct.test.model.SomeClass$NestedClass$FooImpl,"SomeClass$NestedClass$FooImpl/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\MappingInheritanceStrategy.java,org.mapstruct.MappingInheritanceStrategy,"MappingInheritanceStrategy/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\ReportingPolicy.java,org.mapstruct.ReportingPolicy,"ReportingPolicy/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass.java,org.mapstruct.test.model.SomeClass$NestedClass,"NestedClass/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\PackagePrivateMapperImpl.java,org.mapstruct.factory.PackagePrivateMapperImpl,"PackagePrivateMapperImpl/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\NullValueMappingStrategy.java,org.mapstruct.NullValueMappingStrategy,"NullValueMappingStrategy/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\InjectionStrategy.java,org.mapstruct.InjectionStrategy,"InjectionStrategy/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\MappingConstants.java,org.mapstruct.MappingConstants,"MappingConstants/0",0.0,0.0,-1.0,0.0,15
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\NullValuePropertyMappingStrategy.java,org.mapstruct.NullValuePropertyMappingStrategy,"NullValuePropertyMappingStrategy/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass.java,org.mapstruct.test.model.SomeClass,"SomeClass/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,"findsNestedMapperImpl/0",4.0,0.0,0.0,3.0,41
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,"findsNestedMapperImplClass/0",4.0,0.0,0.0,3.0,47
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,"shouldReturnImplementationClass/0",3.0,0.0,0.0,2.0,29
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,"shouldReturnImplementationInstance/0",2.0,0.0,0.0,2.0,22
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,"shouldReturnPackagePrivateImplementationClass/0",2.0,0.0,0.0,2.0,58
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,"shouldReturnPackagePrivateImplementationInstance/0",2.0,0.0,0.0,2.0,53
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,"MappersTest/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\FooImpl.java,org.mapstruct.test.model.FooImpl,"FooImpl/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"collectClassLoaders/1[java.lang.ClassLoader]",3.0,0.0,0.0,2.0,156
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"doGetMapper/2[java.lang.Class, java.lang.ClassLoader]",3.0,2.0,0.4,2.0,78
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"doGetMapperClass/2[java.lang.Class, java.lang.ClassLoader]",2.0,2.0,0.5,2.0,130
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"getMapper/1[java.lang.Class]",1.0,1.0,0.5,1.0,54
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"getMapper/2[java.lang.Class, java.lang.Iterable]",1.0,0.0,0.0,1.0,65
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"getMapperClass/1[java.lang.Class]",1.0,1.0,0.5,1.0,105
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"getMapperClass/2[java.lang.Class, java.lang.Iterable]",1.0,0.0,0.0,1.0,116
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"getMapperFromServiceLoader/2[java.lang.Class, java.lang.ClassLoader]",0.0,0.0,-1.0,0.0,144
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,"Mappers/0",0.0,0.0,-1.0,0.0,43
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass$FooImpl.java,org.mapstruct.test.model.SomeClass$FooImpl,"SomeClass$FooImpl/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\CollectionMappingStrategy.java,org.mapstruct.CollectionMappingStrategy,"CollectionMappingStrategy/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\control\MappingControl.java,org.mapstruct.control.MappingControl$Use,"Use/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,"getCity/0",0.0,1.0,1.0,0.0,34
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,"getCountry/0",0.0,1.0,1.0,0.0,42
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,"getHouseNumber/0",0.0,1.0,1.0,0.0,26
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,"getStreet/0",0.0,1.0,1.0,0.0,18
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,"setCity/1[java.lang.String]",0.0,1.0,1.0,0.0,38
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,"setCountry/1[java.lang.String]",0.0,1.0,1.0,0.0,46
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,"setHouseNumber/1[java.lang.String]",0.0,1.0,1.0,0.0,30
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,"setStreet/1[java.lang.String]",0.0,1.0,1.0,0.0,22
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\jaxbTest\src\main\java\org\mapstruct\itest\jaxb\ShippingAddressDto.java,org.mapstruct.itest.jaxb.ShippingAddressDto,"ShippingAddressDto/0",0.0,0.0,-1.0,0.0,
C:\Users\sugii syuji\gitProject\mapstruct\integrationtest\src\test\resources\simpleTest\src\test\java\org\mapstruct\itest\simple\ConversionTest.java,org.mapstruct.itest.simple.ConversionTest,"shouldApplyConversions/0",6.0,0.0,0.0,2.0,18
