file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\monitoring\FBHandler.java,xdman.monitoring.FBHandler,0.0,-1.0,32.0,0.0,0.0,-1.0,5.0,class,1,2,7,,0.0,115,0,30,0,0,3,26
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\KeepAliveConnectionCache.java,xdman.network.KeepAliveConnectionCache,0.0,-1.0,15.0,14.0,0.4827586,-1.0,2.0,class,1,2,2,0.6666667,0.7083333,92,0,22,0,6,8,22
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,0.0,-1.0,18.0,4.0,0.18181819,-1.0,6.0,class,1,3,4,0.0,0.9,144,0,31,0,1,10,34
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\preview\ChunkLoader.java,xdman.preview.ChunkLoader,0.0,-1.0,25.0,0.0,0.0,-1.0,5.0,class,1,2,6,,0.0,179,0,17,0,0,4,29
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaFormatWnd.java,xdman.ui.components.MediaFormatWnd.2,0.0,-1.0,47.0,0.0,0.0,-1.0,4.0,anonymous,1,0,2,,0.0,18,0,24,0,0,1,2
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\UpdateChecker.java,xdman.util.UpdateChecker.1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\ComponentInstaller.java,xdman.ui.components.ComponentInstaller.1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\NewDownloadWindow.java,xdman.ui.components.NewDownloadWindow,0.0,0.0,184.0,22.0,0.106796116,-1.0,31.0,class,6,2,15,0.2,0.78787875,259,0,93,0,7,11,38
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\BarPanel.java,xdman.ui.components.BarPanel,0.0,0.0,2.0,1.0,0.33333334,-1.0,1.0,class,5,1,1,1.0,0.5,13,0,7,0,2,2,2
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\videoparser\YdlResponse.java,xdman.videoparser.YdlResponse.1,0.0,-1.0,8.0,0.0,0.0,-1.0,1.0,anonymous,1,0,1,,0.0,21,0,0,0,0,1,5
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\downloaders\hls\EncryptedHlsChannel.java,xdman.downloaders.hls.EncryptedHlsChannel,17.0,0.33333334,31.0,52.0,0.62650603,0.7647059,9.0,class,3,2,15,1.0,0.5,199,0,42,0,2,4,49
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\XDMFrame.java,xdman.ui.components.XDMFrame.5,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\downloaders\http\HttpChannel.java,xdman.downloaders.http.HttpChannel,8.0,0.4,41.0,57.0,0.5816327,0.375,6.0,class,2,9,14,1.0,0.7878788,254,1,40,0,9,11,65
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\downloaders\SegmentImpl.java,xdman.downloaders.SegmentImpl,0.0,-1.0,6.0,67.0,0.91780823,-1.0,4.0,class,1,5,6,0.7096774,0.86505187,245,0,28,0,12,34,63
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\JavaHttpClient.java,xdman.network.http.JavaHttpClient,5.0,0.8333333,18.0,9.0,0.33333334,0.4,9.0,class,2,5,6,1.0,0.6071429,61,0,30,0,4,7,14
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\monitoring\YtUtil.java,xdman.monitoring.DASH_INFO,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,class,1,2,1,-1.0,,9,0,0,0,7,0,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\mediaconversion\MediaFormatInfo.java,xdman.mediaconversion.MediaFormatInfo,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,class,1,3,0,-1.0,,5,0,0,0,3,0,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\VideoItemRenderer.java,xdman.ui.components.VideoItemRenderer,0.0,-1.0,14.0,3.0,0.1764706,-1.0,7.0,class,1,1,7,1.0,0.1,84,0,26,0,10,2,6
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\downloaders\SegmentDownloader.java,xdman.downloaders.SegmentDownloader.1,0.0,-1.0,7.0,0.0,0.0,-1.0,3.0,anonymous,1,0,4,,0.0,22,0,6,0,0,1,4
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\BatchDownloadWnd.java,xdman.ui.components.BatchDownloadWnd,0.0,0.0,226.0,17.0,0.06995885,-1.0,35.0,class,6,5,21,0.0,0.72727275,264,0,93,0,11,6,27
