file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java,org.apache.zookeeper.compatibility.TestApacheCuratorCompatibility,testBasicUsageOfApisAndRecipes/0,2.0,0.0,0.0,2.0,41.0,0,1,1,22,0,8,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,doHelp/0,2.0,1.0,0.33333334,2.0,114.0,1,0,3,14,0,1,0,1,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,main/1[java.lang.String[]],11.0,0.0,0.0,5.0,67.0,0,2,11,46,2,8,1,1,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\SymbolArg.java,org.apache.zookeeper.graph.filterops.SymbolArg,SymbolArg/1[java.lang.String],1.0,1.0,0.5,1.0,23.0,1,0,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java,org.apache.zookeeper.graph.Log4JEntry,getEntry/0,1.0,0.0,0.0,1.0,27.0,2,1,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java,org.apache.zookeeper.graph.Log4JEntry,getNode/0,1.0,0.0,0.0,1.0,35.0,2,1,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java,org.apache.zookeeper.graph.Log4JEntry,getType/0,1.0,0.0,0.0,1.0,39.0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java,org.apache.zookeeper.graph.Log4JEntry,toString/0,1.0,2.0,0.6666667,1.0,31.0,0,3,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogEntry.java,org.apache.zookeeper.graph.LogEntry,getAttribute/1[java.lang.String],1.0,0.0,0.0,1.0,44.0,11,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogEntry.java,org.apache.zookeeper.graph.LogEntry,getTimestamp/0,0.0,1.0,1.0,0.0,34.0,13,1,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogEntry.java,org.apache.zookeeper.graph.LogEntry,getType/0,0.0,0.0,-1.0,0.0,38.0,2,0,1,1,0,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogEntry.java,org.apache.zookeeper.graph.LogEntry,LogEntry/1[long],0.0,2.0,1.0,0.0,29.0,0,1,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\StringArg.java,org.apache.zookeeper.graph.filterops.StringArg,StringArg/1[java.lang.String],1.0,1.0,0.5,1.0,23.0,1,0,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\RandomAccessFileReader.java,org.apache.zookeeper.graph.RandomAccessFileReader,close/0,0.0,0.0,-1.0,0.0,148.0,6,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\RandomAccessFileReader.java,org.apache.zookeeper.graph.RandomAccessFileReader,fill/0,1.0,10.0,0.90909094,1.0,68.0,2,0,3,17,1,2,0,0,0,0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\RandomAccessFileReader.java,org.apache.zookeeper.graph.RandomAccessFileReader,getPosition/0,0.0,2.0,1.0,0.0,155.0,6,0,1,3,1,0,0,0,0,0
